Offset: 0.000000/0.000000
00/12 1, 01/02 1, 01/02 1, 01/02 1, 01/02 1, 01/02 1, 01/02 1, 01/02 1, 01/02 1, 01/02 1, 01/02 1, 01/02 1, 01/02 1, 01/02 1, 01/02 1, 01/02 1, 01/02 1, 01/02 1, 01/02 1, 01/02 1, 01/02 1, 01/02 1, 01/02 1, 01/02 1, 01/02 1, 01/02 1, 01/02 1, 01/02 1, 01/12 1
02/01 1, 00/00 0, 01/00 0, 01/00 0, 01/00 0, 01/00 0, 01/00 0, 01/00 0, 01/00 0, 01/00 0, 01/00 0, 01/00 0, 01/00 0, 01/00 0, 01/00 0, 01/00 0, 01/00 0, 01/00 0, 01/00 0, 01/00 0, 01/00 0, 01/00 0, 01/00 0, 01/00 0, 01/00 0, 01/00 0, 01/00 0, 02/00 0, 00/01 1
02/01 1, 00/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 02/01 0, 00/01 1
02/01 1, 00/01 0, 00/04 0, 01/02 0, 01/02 0, 01/02 0, 01/02 0, 01/02 0, 01/02 0, 01/04 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 02/01 0, 00/01 1
02/01 1, 00/01 0, 02/01 0, 00/11 1, 01/11 1, 01/11 1, 01/11 1, 01/11 1, 02/11 1, 00/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 02/01 0, 00/01 1
02/01 1, 00/01 0, 00/05 0, 01/00 0, 01/00 0, 01/00 0, 01/00 0, 01/00 0, 01/00 0, 01/13 0, 01/02 0, 01/02 0, 01/02 0, 01/02 0, 01/02 0, 01/02 0, 01/04 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 02/01 0, 00/01 1
02/01 1, 00/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 02/01 0, 00/11 1, 01/11 1, 01/11 1, 01/11 1, 01/11 1, 02/11 1, 00/01 0, 01/01 0, 00/04 0, 01/02 0, 01/02 0, 01/02 0, 01/02 0, 01/02 0, 01/02 0, 01/04 0, 01/01 0, 02/01 0, 00/01 1
02/01 1, 00/01 0, 00/04 0, 01/02 0, 01/02 0, 01/02 0, 01/02 0, 01/04 0, 01/01 0, 00/05 0, 01/00 0, 01/00 0, 01/00 0, 01/00 0, 01/00 0, 01/00 0, 01/05 0, 01/01 0, 02/01 0, 00/00 1, 01/00 1, 01/00 1, 01/00 1, 01/00 1, 02/00 1, 00/01 0, 01/01 0, 02/01 0, 00/01 1
02/01 1, 00/01 0, 02/01 0, 00/11 1, 01/11 1, 01/11 1, 02/11 1, 00/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/02 0, 01/02 0, 01/02 0, 01/02 0, 01/02 0, 01/01 0, 02/01 0, 00/01 1, 01/01 1, 01/01 1, 01/01 1, 01/01 1, 02/01 1, 00/01 0, 01/01 0, 02/01 0, 00/01 1
02/01 1, 00/01 0, 00/05 0, 01/00 0, 01/00 0, 01/00 0, 01/00 0, 01/05 0, 01/01 0, 00/04 0, 01/02 0, 01/06 0, 00/00 1, 01/00 1, 01/00 1, 01/00 1, 02/00 1, 00/01 0, 02/01 0, 00/01 1, 01/01 1, 01/01 1, 01/01 1, 01/01 1, 02/01 1, 00/01 0, 01/01 0, 02/01 0, 00/01 1
02/01 1, 00/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 02/01 0, 02/03 1, 02/05 0, 00/01 1, 01/01 1, 01/01 1, 01/01 1, 02/01 1, 00/01 0, 02/01 0, 00/01 1, 01/01 1, 01/01 1, 01/01 1, 01/01 1, 02/01 1, 00/01 0, 01/01 0, 02/01 0, 00/01 1
