Offset: 0.000000/0.000000
01/01 1, 01/01 1, 01/01 1, 00/12 1, 01/02 1, 01/02 1, 01/02 1, 01/02 1, 01/02 1, 01/02 1, 01/02 1, 01/02 1, 01/02 1, 01/02 1, 01/02 1, 01/02 1, 01/02 1, 01/02 1, 01/02 1, 01/02 1, 01/02 1, 01/02 1, 01/02 1, 01/02 1, 01/02 1, 01/02 1, 01/02 1, 01/02 1, 01/12 1
01/01 1, 01/01 1, 01/01 1, 02/01 1, 00/00 0, 01/00 0, 01/00 0, 01/00 0, 01/00 0, 01/00 0, 01/00 0, 01/00 0, 01/00 0, 01/00 0, 01/00 0, 01/00 0, 01/00 0, 01/00 0, 01/00 0, 01/00 0, 01/00 0, 01/00 0, 01/00 0, 01/00 0, 01/00 0, 01/00 0, 01/00 0, 02/00 0, 00/01 1
01/01 1, 01/01 1, 01/01 1, 02/01 1, 00/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 02/01 0, 00/01 1
01/01 1, 01/01 1, 01/01 1, 02/01 1, 00/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 02/01 0, 00/01 1
01/01 1, 01/01 1, 01/01 1, 02/01 1, 00/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 02/01 0, 00/01 1
01/01 1, 01/01 1, 01/01 1, 02/01 1, 00/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 02/01 0, 00/01 1
01/01 1, 01/01 1, 01/01 1, 02/01 1, 00/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 02/01 0, 00/01 1
01/01 1, 01/01 1, 01/01 1, 02/01 1, 00/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 02/01 0, 00/01 1
01/01 1, 01/01 1, 01/01 1, 02/01 1, 00/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 02/01 0, 00/01 1
01/01 1, 01/01 1, 01/01 1, 02/01 1, 00/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 02/01 0, 00/01 1
01/01 1, 01/01 1, 01/01 1, 02/01 1, 00/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 02/01 0, 00/01 1
