Offset: 0.000000/0.000000
01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0
01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0
01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0
01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0
01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0
01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0
01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0
01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0
01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0
01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 00/00 1, 00/00 1, 00/00 1, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0
01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0
01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0
01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0
01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0, 01/01 0
